id,product_series,product_name,manufacturer,product_type,supported_protocols
1,PMC,53A-E,CET,Power Meters,modbus
2,Tmax XT2,Tmax XT2 & Ekip M Dip & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
3,Tmax XT5,Tmax XT5 & Ekip Touch Measuring & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
4,Tmax XT2,Tmax XT2 & Ekip Z-LS & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
5,EC-300 Series,ECA380D,Hager,Power Meters,modbus
6,AWD3,AWD3,Saia Burgess,Power Meters,modbus
7,1 PLAY,TLM,Ingeteam,Solar Inverters,modbus
8,EM,EM1,Janitza,Power Meters,modbus
9,ALD1,ALD1,Saia Burgess,Power Meters,modbus
10,Tmax XT5,Tmax XT5 & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
11,ACH,480,ABB,General Purpose AC Drives,modbus | ethernet-ip
12,Tmax XT4,Tmax XT4 & Ekip M-LRIU & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
13,Tmax XT5,Tmax XT5 & MF/MA & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
14,Sunny Boy,3.0-US - 7.7-US,SMA,Solar Inverters,modbus
15,B-PRO,4000,ERL,Protection Relays,modbus
16,M Family,MIV-2000,General Electric,Protection Relays,modbus
17,Tmax XT4,Tmax XT4 & MF & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
18,E-Pumps,0.25-7.5 kW H models,Grundfos,Motors & Pumps,modbus
19,Tmax T5,Tmax T5 & PR223EF,ABB,Circuit Breakers,modbus
20,VLT,5000,Danfoss,Variable Frequency Drives,modbus
21,E-Pumps,MAGNA3 with Sensor,Grundfos,Motors & Pumps,modbus
22,PowerLogic,ION6200,Schneider Electric,Power Meters,modbus
23,UMG,96RM-E,Janitza,Power Meters,modbus
24,Emax 2,Emax 2 & Ekip UP & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
25,GK,510,GTAKE,Variable Frequency Drives,modbus
26,Easergy MiCOM,Px4x Series,Schneider Electric,Protection Relays,modbus
27,Tmax XT4,Tmax XT4 & Ekip G Dip & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
28,IZMX,IZMX 16 & PXR 20,Eaton,Circuit Breakers,modbus
29,Gutor,PXC,Schneider Electric,Uninterruptible Power Supplies,modbus
30,Integra,1560,TE Connectivity,Power Meters,modbus
31,Eco-Power Meter,KW2M-A,Panasonic,Power Meters,modbus
32,CIMR-U,U1000,Omron,Variable Frequency Drives,modbus
33,Tmax XT7 M,Tmax XT7 M & Ekip G Hi-Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
34,Tmax T7,Tmax T7 & PR332/P MM & PR330/D-M,ABB,Circuit Breakers,modbus
35,EC,EC376,Hager,Power Meters,modbus
36,Tmax XT7 M,Tmax XT7 M & Ekip G Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
37,PowerFlex,400 (SingleDrive),Rockwell Automation,Variable Frequency Drives,modbus | ethernet-ip
38,TemPower,2 AR,Terasaki,Circuit Breaker,modbus
39,UR,L90,General Electric,Protection Relays,modbus
40,NRX,NRX & Digitrip 520M & CAM + MCAM,Eaton,Circuit Breakers,modbus
41,Unidrive,SP,Control Techniques,Variable Frequency Drives,modbus
42,Adjustable Speed Drives,G9,Toshiba,Variable Frequency Drives,modbus
43,G300,360,Galt Electric,Variable Frequency Drives,modbus
44,Emax,Emax w. PR122/P-LI,ABB,Circuit Breakers,modbus
45,NRX,NRX & Digitrip 520M & CAM + ECAM,Eaton,Circuit Breakers,modbus
46,ACS,880 FW 2.9x,ABB,Variable Frequency Drives,modbus
47,B-PRO,8700,ERL,Protection Relays,modbus
48,PMC,509,CET,Power Meters,modbus
49,ACS,880 FW 1.1x,ABB,Variable Frequency Drives,modbus | ethernet-ip
50,IQ 100 Series,IQ150,Eaton,Power Meters,modbus
51,Masterpact,NT / NW,Schneider Electric,Circuit Breakers,modbus
52,EC-300 Series,ECR300C,Hager,Power Meters,modbus
53,Integra,INT,TE Connectivity,Power Meters,modbus
54,SINEAX,A210-A220,Camille Bauer,Power Meters,modbus
55,PowerFlex,523 (SingleDrive),Rockwell Automation,Variable Frequency Drives,modbus | ethernet-ip
56,Alpha,1140,Elster,Power Meters,modbus
57,10,C,Saftronics,Variable Frequency Drives,modbus
58,Isomax S4,Isomax S4 & PR212/P & PR212/D-M,ABB,Circuit Breakers,modbus
59,EPM,6000T,General Electric,Power Meters,modbus
60,Liebert,EXL S1,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
61,UR,G30,General Electric,Protection Relays,modbus
62,Controls and Monitoring,Control DDD w. Sensor,Grundfos,Motors & Pumps,modbus
63,Tmax XT7 M,Tmax XT7 M & Ekip G Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
64,EasyLogic,PM2100_2200,Schneider Electric,Power Meters,modbus
65,Masterpact,NT / NW,Schneider Electric,Circuit Breakers,modbus
66,PACmotion,IC855,General Electric,Variable Frequency Drives,modbus
67,Tmax XT4,Tmax XT4 & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
68,PowerLogic,BCPMSC-A,Schneider Electric,Power Meters,modbus
69,Tmax XT7,Tmax XT7 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
70,Series C,Series C & Digitrip RMS 910 & mMint,Eaton,Circuit Breakers,modbus
71,Emax 2,Emax 2 & Ekip UP & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
72,PMC,43M,CET,Power Meters,modbus
73,Magnum SB,Magnum SB & Digitrip RMS 1150 & PXG,Eaton,Circuit Breakers,modbus
74,Circuit Breaker Monitor,Breaker Performance Monitor,Dynamic Ratings,Circuit Breakers,modbus
75,300,EM/ET,Carlo Gavazzi,Power Meters,modbus
76,Tmax XT5,Tmax XT5 & Ekip Touch Measuring & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
77,Tmax XT4,Tmax XT4 & Ekip E-LSIG & Ekip Com Modbus RS-485,ABB,Circuit Breakers,modbus
78,Tmax XT4,Tmax XT4 & MF & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
79,EC-300 Series,ECA301C,Hager,Power Meters,modbus
80,PQM,II,General Electric,Power Meters,modbus
81,VLT HVAC Drive,FC 102,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
82,Fixed speed drives,FixStar,Schlumberger,Variable Frequency Drives,modbus
83,Unidrive,M201-Modified,Control Techniques,Variable Frequency Drives,modbus
84,Optidrive,P2,Invertek,Variable Frequency Drives,modbus
85,Professional II,3/5,EMU Electronics,Power Meters,modbus
86,Integra,DL1,TE Connectivity,Power Meters,modbus
87,Eco-Power Meter,KW1M-H,Panasonic,Power Meters,modbus
88,PowerFlex,700L,Rockwell Automation,Variable Frequency Drives,ethernet-ip
89,Relion 611 series,REF 611,ABB,Protection Relays,modbus
90,Isomax S3,Isomax S3 & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
91,CFW,8,WEG,Variable Frequency Drives,modbus
92,Tmax XT2,Tmax XT2 & TMD & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
93,Tmax XT7,Tmax XT7 & Ekip Touch Measuring & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
